Song_id,Title,Artist,Valance,Arousal,Genre,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,have_sim
311,Nature boy,Lisa Ekdahl,925383,48866,jazz,314,2024,3220,1186,1460,1
312,Night and day,Lisa Ekdahl,815942,427947,jazz,315,2023,1107,117,-1,1
313,Tea for two,Lisa Ekdahl,957126,194095,jazz,315,312,1464,-1,-1,1
314,The lonely one,Lisa Ekdahl,320623,90842,jazz,313,2024,401,625,-1,1
315,What is this thing called love,Lisa Ekdahl,818615,179269,jazz,-1,-1,-1,-1,-1,0
316,La Campanella,Franz Liszt,943100,425231,classical,14,238,-1,-1,-1,1
317,Backwoods,Lloyd Cole,959850,272967,rock,-1,-1,-1,-1,-1,0
318,Mambo No. 5,Lou Bega,57356,91750,pop,59,480,4260,644,235,1
319,What a wonderful world,Louis Armstrong,801486,316346,jazz,3145,357,227,693,106,1
320,Lo eres todo,Luz Casal,143956,232119,vocal pop,-1,-1,-1,-1,-1,0
321,One step beyond,Madness,571188,994055,rock,75,95,437,447,1708,1
322,Crazy for you,Madonna,879077,503228,pop,336,3,3069,1405,1563,1
323,Java jive,The Manhattan Transfer,809101,302395,randb,106,1058,-1,-1,-1,1
324,Bongo bong,Manu Chao,162277,273885,world,101,3253,1675,1674,-1,1
325,Clandestino,Manu Chao,178359,504164,world,1675,1674,-1,-1,-1,1
326,Harder to breathe,Maroon 5,392935,800008,pop,3998,287,38,3074,3051,1
327,She will be loved,Maroon 5,850884,470794,pop,3998,2347,801,4070,1736,1
328,Your precious love,Marvin Gaye,825728,394994,randb,-1,-1,-1,-1,-1,0
329,Be thankful for what you got,Massive Attack,780579,452114,electro,435,431,1573,711,1141,1
330,Better things,Massive Attack,48230,172654,electro,428,346,1573,1141,340,1
331,Everywhen,Massive Attack,306052,325440,electro,333,431,429,711,340,1
332,Special cases,Massive Attack,149844,462516,electro,332,433,436,1573,340,1
